Date;Open;High;Low;Close;Volume;Adj;Close
2013-10-24;8.65;8.85;8.65;8.82;1300;8.82;
2013-10-23;8.75;9;8.72;8.82;6200;8.82;
2013-10-22;8.98;9;8.73;8.73;1300;8.73;
2013-10-21;8.8;8.97;8.6;8.97;7800;8.97;
2013-10-18;8.85;8.9;8.55;8.55;6700;8.55;
2013-10-17;9;9;8.61;8.61;5300;8.61;
2013-10-16;8.58;8.58;8.58;8.58;0;8.58;
2013-10-15;8.55;8.58;8.55;8.58;2000;8.58;
2013-10-14;8.9;8.9;8.9;8.9;100;8.9;
2013-10-11;9.25;9.25;8.51;8.51;0;8.51;
2013-10-10;8.66;8.81;8.66;8.81;300;8.81;
2013-10-09;8.9;8.9;8.8;8.85;2600;8.85;
2013-10-08;9.1;9.1;8.5;9.1;6700;9.1;
2013-10-07;8.65;8.67;8.65;8.67;200;8.67;
2013-10-04;8.5;9.18;8.5;9.02;1900;9.02;
2013-10-03;8.1;8.76;8;8.76;300;8.76;
2013-10-02;8.35;8.35;8.35;8.35;0;8.35;
2013-10-01;9.2;9.2;8.35;8.35;600;8.35;
2013-09-30;8.78;8.78;8.78;8.78;0;8.78;
2013-09-27;9.14;9.14;8.78;8.78;0;8.78;
2013-09-26;8.9;9.27;8.73;8.73;2200;8.73;
2013-09-25;8.94;8.95;8.94;8.95;0;8.95;
2013-09-24;8.5;8.53;8.5;8.53;500;8.53;
2013-09-23;8.3;8.35;8.13;8.13;100;8.13;
2013-09-20;8.7;8.7;8.5;8.5;3900;8.5;
2013-09-19;8.6;8.92;8.5;8.92;400;8.92;
2013-09-18;8.75;8.75;8.5;8.5;400;8.5;
2013-09-17;9.09;9.09;8.65;8.65;600;8.65;
2013-09-16;8.72;8.72;8.72;8.72;0;8.72;
2013-09-13;8.75;8.75;8.72;8.72;0;8.72;
2013-09-12;9.17;9.17;9.17;9.17;0;9.17;
2013-09-11;9.17;9.17;9.17;9.17;1100;9.17;
2013-09-10;8.75;8.75;8.75;8.75;500;8.75;
2013-09-09;8.5;8.5;8.5;8.5;0;8.5;
2013-09-06;8.7;8.7;8.5;8.5;300;8.5;
2013-09-05;8.85;8.93;8.85;8.88;600;8.88;
2013-09-04;8.6;8.6;8.51;8.51;2200;8.51;
2013-09-03;9.39;9.39;8.6;8.6;4000;8.6;
2013-09-02;9.42;10.4;9.37;9.4;600;9.4;
2013-08-30;10.4;10.4;10.4;10.4;0;10.4;
2013-08-29;9.75;9.75;9.75;9.75;300;9.75;
2013-08-28;10.83;10.83;10.83;10.83;0;10.83;
2013-08-27;9.5;9.85;9.5;9.85;0;9.85;
2013-08-26;9.01;9.01;9.01;9.01;400;9.01;
2013-08-23;9.01;9.89;9.01;9.25;2100;9.25;
2013-08-22;9.91;9.91;9.91;9.91;0;9.91;
2013-08-21;8.9;9.91;8.9;9.91;1500;9.91;
2013-08-20;9.01;9.2;9.01;9.02;700;9.02;
2013-08-19;9;10;8.92;10;1600;10;
2013-08-16;10.9;10.9;9.9;9.9;0;9.9;
2013-08-15;10.1;10.1;10.1;10.1;0;10.1;
2013-08-14;9.25;10.1;9.01;10.1;1600;10.1;
2013-08-13;8.56;10;8.56;10;300;10;
2013-08-12;9.6;9.6;9.5;9.5;0;9.5;
2013-08-09;9.68;9.68;9.68;9.68;0;9.68;
2013-08-08;9.68;9.68;9.68;9.68;0;9.68;
2013-08-07;9.54;9.54;9;9.1;1000;9.1;
2013-08-06;8.9;9.6;8.3;8.71;400;8.71;
2013-08-05;9.4;9.69;8.9;8.9;0;8.9;
2013-08-02;9;9.25;8.9;8.9;0;8.9;
