Date;Open;High;Low;Close;Volume;Adj;Close
2013-10-24;12.5;12.5;12.23;12.23;400;12.23;
2013-10-23;13.54;13.54;12.87;12.87;100;12.87;
2013-10-22;13.54;13.54;13.54;13.54;0;13.54;
2013-10-21;15.19;15.23;14.25;14.25;4700;14.25;
2013-10-18;14.59;14.59;14.59;14.59;0;14.59;
2013-10-17;13.5;14.59;13.5;14.59;8400;14.59;
2013-10-16;13.9;13.9;13.9;13.9;0;13.9;
2013-10-15;12.72;13.9;12.72;13.9;1200;13.9;
2013-10-14;13.38;13.38;13.38;13.38;0;13.38;
2013-10-11;12.75;12.75;12.75;12.75;0;12.75;
2013-10-10;11.85;12.17;11.5;12.15;1200;12.15;
2013-10-09;11.6;11.6;11.6;11.6;0;11.6;
2013-10-08;10.25;11.1;10.25;11.1;100;11.1;
2013-10-07;10.68;10.68;10.68;10.68;100;10.68;
2013-10-04;10.18;10.18;10.18;10.18;0;10.18;
2013-10-03;9.7;9.7;9.7;9.7;0;9.7;
2013-10-02;9.7;9.7;9.7;9.7;0;9.7;
2013-10-01;9.7;9.7;9.7;9.7;0;9.7;
2013-09-30;9.7;9.7;9.7;9.7;0;9.7;
2013-09-27;9.7;9.7;9.7;9.7;0;9.7;
2013-09-26;10.1;10.25;10;10;1000;10;
2013-09-25;10.1;10.1;10.1;10.1;0;10.1;
2013-09-24;10.1;10.1;10.1;10.1;0;10.1;
2013-09-23;10.1;10.1;10.1;10.1;0;10.1;
2013-09-20;10.05;10.1;10.05;10.1;700;10.1;
2013-09-19;10.1;10.1;10.1;10.1;0;10.1;
2013-09-18;10.1;10.1;10.1;10.1;200;10.1;
2013-09-17;10.25;10.25;10.25;10.25;100;10.25;
2013-09-16;10.69;10.69;10.69;10.69;0;10.69;
2013-09-13;10.69;10.69;10.69;10.69;100;10.69;
2013-09-12;10.21;11.25;10.21;11.25;300;11.25;
2013-09-11;10.74;10.74;10.74;10.74;900;10.74;
2013-09-10;11.3;11.3;11.3;11.3;0;11.3;
2013-09-09;11.8;11.8;11.8;11.8;0;11.8;
2013-09-06;11.8;11.8;11.8;11.8;0;11.8;
2013-09-05;11.8;11.8;11.8;11.8;0;11.8;
2013-09-04;11.85;11.85;11.85;11.85;0;11.85;
2013-09-03;11.9;11.9;11.9;11.9;900;11.9;
2013-09-02;11.9;11.9;11.9;11.9;0;11.9;
2013-08-30;11.9;11.9;11.9;11.9;0;11.9;
2013-08-29;12.5;12.5;11.7;11.9;0;11.9;
2013-08-28;12.35;12.35;12.3;12.3;0;12.3;
2013-08-27;11.8;11.8;11.8;11.8;0;11.8;
2013-08-26;11.28;11.28;11.28;11.28;0;11.28;
2013-08-23;10.45;10.75;10;10.75;2600;10.75;
2013-08-22;10.2;10.45;10.2;10.43;500;10.43;
2013-08-21;9.62;10;9.62;10;3500;10;
2013-08-20;10;10;10;10;0;10;
2013-08-19;10;10;10;10;100;10;
2013-08-16;10;10;10;10;0;10;
2013-08-15;10;10;10;10;0;10;
