Date;Open;High;Low;Close;Volume;Adj;Close
2013-10-24;154.45;154.45;154.45;154.45;0;154.45;
2013-10-23;151.5;154.95;151.5;154.45;400;154.45;
2013-10-22;154;157.4;154;157.4;200;157.4;
2013-10-21;148.95;154.45;148.7;154.45;300;154.45;
2013-10-18;152;153;150;150;100;150;
2013-10-17;158;158;153;153;200;153;
2013-10-16;153;153;153;153;0;153;
2013-10-15;162.3;166;145;153;2100;153;
2013-10-14;169;169;169;169;0;169;
2013-10-11;171.95;171.95;169;169;0;169;
2013-10-10;162.3;162.3;162.3;162.3;0;162.3;
2013-10-09;163;170;162.3;162.3;200;162.3;
2013-10-08;170.3;170.3;165;165;0;165;
2013-10-07;165;165;161.05;161.05;0;161.05;
2013-10-04;165;165;165;165;0;165;
2013-10-03;160.3;160.3;160.1;160.1;100;160.1;
2013-10-02;165;165;165;165;0;165;
2013-10-01;165;165;165;165;0;165;
2013-09-30;165;165;165;165;0;165;
2013-09-27;165;165;165;165;100;165;
2013-09-26;162.95;170;162.95;165;400;165;
2013-09-25;157;159;156;159;200;159;
2013-09-24;162;162;162;162;100;162;
2013-09-23;160.05;160.05;160;160;100;160;
2013-09-20;162.55;162.55;160;160;300;160;
2013-09-19;162;162;162;162;0;162;
2013-09-18;163;170;163;169.95;100;169.95;
2013-09-17;160;160;155.5;160;100;160;
2013-09-16;166;166;160;160;100;160;
2013-09-13;164.95;166.45;164.95;165.05;0;165.05;
2013-09-12;166.55;166.55;166.55;166.55;0;166.55;
2013-09-11;166.55;166.55;166.55;166.55;0;166.55;
2013-09-10;175.65;175.65;165;165.25;0;165.25;
2013-09-09;176;176;176;176;0;176;
2013-09-06;169.8;176;169.8;176;0;176;
2013-09-05;156.15;156.15;156.15;156.15;0;156.15;
2013-09-04;156.15;156.15;156.15;156.15;0;156.15;
2013-09-03;171;171;155.15;155.15;0;155.15;
2013-09-02;175;175;150.1;150.1;0;150.1;
2013-08-30;184.75;189;179;179;0;179;
2013-08-29;185;185;185;185;0;185;
2013-08-28;155;189.9;155;183.9;0;183.9;
2013-08-27;169.5;169.5;169.5;169.5;0;169.5;
2013-08-26;167.8;169.5;167.8;169.5;0;169.5;
2013-08-23;157.1;159;154.9;159;300;159;
2013-08-22;165;165;165;165;800;165;
2013-08-21;161;165;161;165;0;165;
2013-08-20;185;185;155;165.4;100;165.4;
2013-08-19;184.9;184.9;184.9;184.9;0;184.9;
2013-08-16;152.5;184.9;152.5;184.9;200;184.9;
2013-08-15;169.9;169.9;169.9;169.9;0;169.9;
2013-08-14;169.9;169.9;169.9;169.9;0;169.9;
2013-08-13;153.25;169.9;153.25;169.9;0;169.9;
2013-08-12;165.55;165.55;165.55;165.55;0;165.55;
2013-08-09;167;167;167;167;0;167;
2013-08-08;167;167;167;167;0;167;
2013-08-07;165;168.9;157.3;167;100;167;
2013-08-06;152.55;166;145.1;166;0;166;
2013-08-05;165.5;165.5;165.5;165.5;0;165.5;
2013-08-02;156;165.5;156;165.5;100;165.5;
2013-08-01;165.1;165.1;165;165;0;165;
2013-07-31;166;166.2;166;166.2;0;166.2;
2013-07-30;168;168;165.9;165.9;200;165.9;
2013-07-29;165.2;171.4;153.2;160.5;100;160.5;
2013-07-26;170;170;170;170;0;170;
2013-07-25;170.1;170.1;165.05;170;0;170;
2013-07-24;166;170;166;170;100;170;
2013-07-23;170;170.25;162.1;166.5;500;166.5;
2013-07-22;172.05;172.05;170.25;170.25;100;170.25;
2013-07-19;172.25;172.25;172.25;172.25;0;172.25;
2013-07-18;172.25;172.25;172.25;172.25;100;172.25;
2013-07-17;171;173.5;171;173.5;200;173.5;
2013-07-16;185;185;185;185;0;185;
2013-07-15;185;185;185;185;0;185;
2013-07-12;170.1;188.9;170.1;185;0;185;
2013-07-11;172.2;172.2;172.2;172.2;0;172.2;
2013-07-10;171.6;171.6;171.6;171.6;200;171.6;
2013-07-09;171.35;173.15;171.25;171.25;400;171.25;
2013-07-08;182;182;182;182;0;182;
2013-07-05;212.85;212.85;181;182;300;182;
2013-07-04;165;204;165;178.2;2400;178.2;
2013-07-03;170;170;170;170;600;170;
2013-07-02;184;184;173;173;800;173;
2013-07-01;173;175;170;173;300;173;
2013-06-28;168.05;183;168.05;173;100;173;
2013-06-27;168.05;170;168.05;170;100;170;
2013-06-26;153.1;169.95;153;167.25;200;167.25;
2013-06-25;168;172.25;166;168.35;2100;168.35;
2013-06-24;163;170;160;168.55;600;168.55;
